BRANCH_ID,BRANCH_CODE,BRANCH_NAME,REGION_NAME,ADDRESS_LINE_1,CITY,STATE_CODE,POSTAL_CODE,OPEN_DATE,CLOSE_DATE,BRANCH_STATUS,CREATED_TS,UPDATED_TS
1,B0001,North Judithbury Branch,CAPITAL,18196 Anthony Forge,New Carolyn,MA,74064,1984-12-27,1998-04-29,CLOSED,1984-12-27 00:00:00,1998-04-29 00:00:00
2,B0002,Lake Debra Branch,WESTERN,79402 Peterson Drives Apt. 511,Davisstad,NY,79632,1987-07-09,,ACTIVE,1987-07-09 00:00:00,2026-07-18 00:00:00
3,B0003,Lindsaymouth Branch,CAPITAL,1849 Ray Squares,North Donnaport,MA,10959,2012-11-07,2015-12-14,CLOSED,2012-11-07 00:00:00,2015-12-14 00:00:00
4,B0004,Port Craig Branch,WESTERN,5255 Elizabeth Squares Apt. 928,East Steven,MA,35883,2020-05-03,,ACTIVE,2020-05-03 00:00:00,2026-07-18 00:00:00
5,B0005,Lake Mark Branch,WESTERN,05641 Robin Port,Jasonfort,CT,52357,2012-08-20,,ACTIVE,2012-08-20 00:00:00,2026-07-18 00:00:00
6,B0006,Thomasberg Branch,CAPITAL,884 Hurst Locks,Jeffreyberg,VT,67285,1975-08-01,,ACTIVE,1975-08-01 00:00:00,2026-07-18 00:00:00
7,B0007,Daviston Branch,CAPITAL,26916 Carlson Mountain,Tashatown,CT,89667,2005-07-11,,ACTIVE,2005-07-11 00:00:00,2026-07-18 00:00:00
8,B0008,Lake Nicoleview Branch,NORTHEAST,46270 Stanton Track Apt. 814,East Nathaniel,CT,21675,1984-03-03,,ACTIVE,1984-03-03 00:00:00,2026-07-18 00:00:00
9,B0009,New Mariotown Branch,NORTHEAST,4303 Christopher Oval,Port Amandaberg,VT,17329,2005-11-09,,ACTIVE,2005-11-09 00:00:00,2026-07-18 00:00:00
10,B0010,Arroyoburgh Branch,CENTRAL,963 Jennifer Locks Suite 787,East Jeffreymouth,NY,03258,1986-03-14,,ACTIVE,1986-03-14 00:00:00,2026-07-18 00:00:00
11,B0011,New Jeffrey Branch,WESTERN,031 Michele Cliffs,West Elizabeth,CT,28581,2001-04-20,,ACTIVE,2001-04-20 00:00:00,2026-07-18 00:00:00
12,B0012,Lake Selena Branch,NORTHEAST,76311 Gomez Loop Suite 010,Chandlerville,MA,33092,1992-04-01,,ACTIVE,1992-04-01 00:00:00,2026-07-18 00:00:00
13,B0013,East Amanda Branch,CAPITAL,2473 Scott Wall,North Deniseside,NY,02435,2000-12-17,,ACTIVE,2000-12-17 00:00:00,2026-07-18 00:00:00
14,B0014,Port Melindaburgh Branch,HUDSON_VALLEY,7360 Nicholas Loaf Suite 746,Mooreport,MA,29035,2009-02-06,,ACTIVE,2009-02-06 00:00:00,2026-07-18 00:00:00
15,B0015,New Jillton Branch,HUDSON_VALLEY,09788 Brian Pass Apt. 219,Lake Michellefurt,NY,16214,2008-03-18,,ACTIVE,2008-03-18 00:00:00,2026-07-18 00:00:00
16,B0016,New Brooke Branch,CAPITAL,9985 Harris Stravenue,Johnfurt,MA,17655,1990-05-09,,ACTIVE,1990-05-09 00:00:00,2026-07-18 00:00:00
17,B0017,Stephenland Branch,WESTERN,9911 William Curve,Nicolebury,MA,48935,2016-06-21,,ACTIVE,2016-06-21 00:00:00,2026-07-18 00:00:00
18,B0018,Ericside Branch,NORTHEAST,808 Huynh Cove Apt. 411,West Juan,MA,28108,2004-02-04,,ACTIVE,2004-02-04 00:00:00,2026-07-18 00:00:00
19,B0019,Jamesview Branch,CENTRAL,0164 Adam Trail Apt. 427,Hoffmanville,CT,10363,1977-11-17,,ACTIVE,1977-11-17 00:00:00,2026-07-18 00:00:00
20,B0020,New Barry Branch,WESTERN,826 Bobby Lakes Apt. 533,West Kimberlychester,CT,81852,1980-12-08,,ACTIVE,1980-12-08 00:00:00,2026-07-18 00:00:00
21,B0021,East Michelle Branch,CENTRAL,0256 Joseph Turnpike,South Monicafort,VT,29655,1994-01-28,,ACTIVE,1994-01-28 00:00:00,2026-07-18 00:00:00
22,B0022,Port Samantha Branch,CAPITAL,3303 Murphy Way Apt. 458,Frazierside,CT,43905,1987-10-26,,ACTIVE,1987-10-26 00:00:00,2026-07-18 00:00:00
23,B0023,North Natalieview Branch,CENTRAL,401 Reed Turnpike,Samuelhaven,CT,15658,2013-06-08,,ACTIVE,2013-06-08 00:00:00,2026-07-18 00:00:00
24,B0024,Lamborough Branch,CAPITAL,60883 Reynolds Shores Suite 951,Williamchester,VT,43254,1994-09-04,,ACTIVE,1994-09-04 00:00:00,2026-07-18 00:00:00
25,B0025,Terryside Branch,NORTHEAST,66299 Sullivan Village,West Justinchester,MA,76520,1983-02-26,,ACTIVE,1983-02-26 00:00:00,2026-07-18 00:00:00
